Urban,PCTGQTRS,HUNVFlag,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT 0 Some college or associate's degree,Total; Estimate; Some college no degree
1,0.0004391,0,15.1,21.6
1,0,0,24.1,24.5
1,0.0501792,0,1.2,27.3
1,0.0008686,0,4.3,27.9
1,0.0025742,0,6.1,26.3
1,0.0403445,0,5.2,19.7
1,0.0180428,0,0,24.5
0,0.0106999,0,3.2,20.1
0,0.0006501,0,10.6,21.2
0,0,0,7.4,17
1,0.0353274,1,14.7,22.9
1,0.0011072,1,3.4,22.6
1,0.0083472,1,19.8,28.2
1,0,1,1.6,26.9
1,0.0014116,0,9,13.5
1,0,1,16.4,17.9
1,0.0219113,1,34.5,12.7
1,0,0,7.8,14.7
1,0.003125,1,0,8.7
1,0,1,6.4,14.4
1,0.0027202,0,10.1,14
1,0.0003842,0,49.3,15.9
1,0.02772,0,38.8,18.9
1,0.0031067,0,0,23.4
1,0.0020768,0,32.3,24.1
1,0,1,11.8,23.7
1,0.0022047,0,25.9,23.5
1,0.0551276,0,14.5,25.2
1,0.0086919,0,1.7,31.3
1,0.0008513,1,16.4,30.7
1,0.0010512,0,13.3,31
1,0,0,7,29.4
1,0.0013643,0,8.2,18.9
1,0.0018993,1,14,22.4
1,0.0561734,0,8.3,21.5
1,0.002948,1,11.4,23
1,0.0641054,1,23.8,24.7
1,0.0014099,0,7.6,23.5
1,0.0024944,1,2.9,24.1
1,0.0039228,0,10.8,22.9
1,0.0008109,0,9.1,17.7
0,0.0080952,0,6.2,26.2
1,0.0056048,0,2.2,26.8
1,0.0055458,1,2.5,26.5
1,0.005354,1,0,33.4
1,0.0035419,0,5.3,22
1,0.0048208,0,6.4,29.6
1,0.005898,0,11.4,23
0,0,1,11.5,16.1
1,0.0023455,0,1.3,18.5
1,0.0002805,1,0,18.8
0,0.0105868,0,0,19.5
1,0.0018682,1,7.7,26.5
1,0.0013555,1,6.2,22.7
1,0.0004211,0,1,27
1,0,0,1.1,22.8
1,0.0026903,0,5.9,36.6
1,0.0026947,0,11.5,25
1,0.0067734,0,7.4,38.5
1,0.0054239,1,2.3,27.2
1,0.0022346,1,3,28.7
1,0.0110308,0,2.3,28.8
1,0,0,0,19.9
1,0.0024752,0,2,23.3
1,0.0057665,0,3.8,23
1,0.0002812,0,13.5,15.1
1,0.0014851,0,5.3,23
1,0.0032623,0,3.6,28.4
1,0.0002843,0,12.9,25.6
1,0.0017212,0,11.4,30
1,0.0122803,0,5.2,27.1
1,0.0025199,0,12.5,33.1
1,0.0127415,0,14.9,25.8
1,0.0136162,0,8.6,28.8
1,0.0030292,0,4.2,23.1
1,0.0074364,0,5.3,32.9
1,0.0050883,1,5.9,23.7
1,0.0037933,1,6.9,23.4
1,0.0034536,1,4.4,15.4
1,0,1,7.5,27.3
1,0.0017395,0,6.8,17.6
1,0.0009872,1,5.9,22.3
1,0.0025189,0,10,22.9
1,0.0015318,1,3.7,24.7
1,0.0020968,0,19.2,24.9
1,0.0049737,0,13,21.5
1,0.0154902,0,7.2,20.2
1,0.001218,0,2.1,21.2
1,0.0045296,1,5.8,29.4
1,0.0032642,1,4.6,31.5
1,0.0128181,1,17.7,28.6
1,0.0082531,0,0,32.4
1,0.0678494,1,18.2,22.9
1,0.0272618,0,6.9,28.2
1,0.0030777,0,11.1,25.5
1,0.0054157,0,16.9,24.3
1,0.8847963,0,73.5,66.3
1,0,1,10.4,35.9
1,0.0018193,0,24.4,29.3
1,0,1,3,18.9
1,0,0,2.9,26.2
1,0.0022683,0,9.2,25.3
1,0.0017446,0,7,28.1
1,0,0,5,20.9
1,0.0389055,0,12.8,26.2
1,0.0182109,1,10.1,28.5
1,0.0010365,0,9.9,27.9
1,0.0081301,0,5.9,31
